Animal ID,Name,Outcome Type,Breed,Color,Year of Birth,Altered,Sex
A741582,Scarlet,Adoption,Labrador Retriever Mix,Black,2016,Altered,Female
A736018,,Transfer,Toy Poodle Mix,Black,2016,Intact,Female
A743123,Cookie,Adoption,Pit Bull Mix,Brown Brindle,2016,Altered,Female
A743861,,Transfer,Great Pyrenees Mix,White,2017,Unknown,Unknown
A754577,Belle,Transfer,Chihuahua Shorthair Mix,White/Black,2017,Intact,Female
A787183,Zola,Return to Owner,German Shepherd/Siberian Husky,Brown/Tan,2018,Altered,Female
A710709,*Gwen,Adoption,Australian Kelpie Mix,Black/Tan,2007,Altered,Female
A681179,Tyson,Transfer,Catahoula Mix,Fawn/White,2014,Altered,Male
A739105,,Adoption,Miniature Poodle Mix,Gray,2011,Altered,Female
A726450,Knight,Euthanasia,Labrador Retriever Mix,Black,2003,Altered,Male
A783798,,Transfer,Beagle Mix,Black/White,2018,Intact,Male
A755926,Ajax,Return to Owner,Norwich Terrier Mix,White/Red,2016,Altered,Male
A698650,,Adoption,Australian Kelpie Mix,Tan/White,2014,Altered,Male
A730568,Baggetta,Adoption,Pit Bull Mix,Brown/White,2014,Altered,Male
A674267,*Bambi,Adoption,Chihuahua Shorthair Mix,Brown,2011,Altered,Female
A776726,,Adoption,Chihuahua Shorthair Mix,Tan/White,2018,Altered,Male
A742273,*Tulsi,Adoption,Labrador Retriever Mix,Brown,2016,Altered,Female
A781579,,Adoption,Chihuahua Shorthair Mix,Tan/White,2018,Altered,Female
A731085,Daisy,Adoption,Chihuahua Shorthair/Dachshund,Brown/White,2011,Altered,Female
A776337,*Milo,Adoption,Pointer/Pit Bull,Black/White,2017,Altered,Male
A775354,,Adoption,Tibetan Spaniel Mix,Black/White,2013,Altered,Male
A767049,General,Transfer,Jack Russell Terrier Mix,Tricolor,2008,Altered,Male
A781093,,Adoption,German Shepherd/Labrador Retriever,Tricolor,2018,Intact,Female
A670730,,Transfer,German Shepherd/Boxer,Sable,2013,Intact,Male
A726768,Beau,Adoption,Siberian Husky Mix,Tricolor/Black,2009,Altered,Male
A718491,*Sable,Transfer,Pit Bull Mix,Blue/White,2006,Altered,Female
A642225,Princess,Adoption,Catahoula/Boxer,Black/White,2010,Altered,Female
A669064,,Adoption,Labrador Retriever/German Shepherd,Black/Brown,2011,Altered,Male
A697825,Blueberry,Return to Owner,Pit Bull Mix,Blue/White,2014,Altered,Male
A772489,,Adoption,Chihuahua Shorthair Mix,Black/White,2018,Altered,Male
A744989,,Adoption,Chihuahua Shorthair/Italian Greyhound,Tan,2015,Altered,Female
A680147,,Transfer,Labrador Retriever Mix,Cream,2014,Intact,Female
A765035,*Sox,Adoption,Pit Bull Mix,Black/White,2017,Altered,Male
A701427,Unique,Adoption,Chihuahua Shorthair/Boston Terrier,Blue/White,2015,Altered,Female
A764634,Hazza,Adoption,Labrador Retriever Mix,Chocolate/White,2016,Altered,Male
A667384,,Adoption,Pit Bull Mix,White/Tan,2013,Altered,Female
A605129,Ollie,Transfer,Labrador Retriever Mix,Black/White,2009,Altered,Male
A695180,Duke,Return to Owner,Boxer Mix,Red/White,2013,Altered,Male
A740735,Sasha,Adoption,Boston Terrier Mix,Brown Brindle/White,2016,Altered,Female
A707043,,Adoption,Vizsla Mix,Red/White,2015,Altered,Female
A709189,,Adoption,Pit Bull Mix,Black/White,2015,Altered,Male
A737210,Nike,Return to Owner,Beagle Mix,Tricolor,2006,Intact,Male
A697098,,Transfer,German Shepherd Mix,Black/Brown,2015,Intact,Female
A671481,Dutchess,Adoption,Chihuahua Shorthair Mix,Black/Tan,2013,Intact,Female
A674053,Ringo,Adoption,German Shepherd/Chow Chow,Tan,2011,Altered,Male
A724834,Rosie,Adoption,Chihuahua Shorthair Mix,White/Black,2015,Altered,Female
A744897,Piper,Adoption,Labrador Retriever/German Shepherd,White,2016,Altered,Female
A746746,*Atticus,Adoption,Border Collie Mix,Black/White,2016,Altered,Male
A749222,,Euthanasia,Toy Fox Terrier Mix,Black,2016,Intact,Male
A676932,,Transfer,Yorkshire Terrier Mix,Black/Tan,2004,Altered,Male
A738616,,Transfer,Cairn Terrier Mix,White,2016,Altered,Female
A750288,Gunter,Return to Owner,Labrador Retriever Mix,Chocolate,2016,Intact,Male
A717602,Romeo,Return to Owner,Yorkshire Terrier Mix,Black/Tan,2015,Intact,Male
A632028,Daisy,Return to Owner,Great Pyrenees Mix,White,2010,Altered,Female
A765810,,Transfer,Mastiff Mix,Brown Brindle,2011,Intact,Male
A663592,Bevo,Adoption,Beagle/Chihuahua Longhair,Brown,2013,Altered,Male
A739446,Nicholas,Adoption,Great Pyrenees/Anatol Shepherd,White,2014,Intact,Male
A783528,,Transfer,Lhasa Apso Mix,White/Black,2018,Intact,Female
A689091,*Reese,Adoption,Pit Bull/Labrador Retriever,Black,2014,Altered,Female
A624436,Chico,Return to Owner,Parson Russell Terrier/Chihuahua Shorthair,White/Brown,2010,Altered,Male
A731911,Cory,Return to Owner,Australian Cattle Dog/German Shepherd,Black/Tan,2016,Intact,Male
A562649,,Euthanasia,Border Collie Mix,White/Tricolor,2000,Altered,Female
A743147,Princess,Adoption,Blue Lacy/Pit Bull,Blue/White,2016,Altered,Female
A734520,Pablo,Transfer,Pit Bull Mix,Tan/White,2016,Altered,Male
A737680,Chula,Return to Owner,Pit Bull Mix,Blue,2013,Intact,Female
A672216,Rambo,Transfer,Doberman Pinsch,Black/Tan,2013,Altered,Male
A749833,Monty,Return to Owner,Bloodhound Mix,Tricolor,2009,Altered,Male
A786554,,Transfer,Chihuahua Shorthair Mix,Black/White,2016,Intact,Female
A708139,Swoberdie,Return to Owner,Labrador Retriever Mix,Black,2008,Altered,Male
A762456,,Transfer,German Shepherd Mix,Black/Tan,2017,Unknown,Unknown
A693547,Louie,Adoption,Rat Terrier Mix,White/Brown,2014,Altered,Male
A668644,Chuck,Adoption,Chihuahua Shorthair Mix,White/Tan,2012,Altered,Male
A734209,Sugar,Transfer,Brittany Mix,White,2003,Altered,Male
A685916,Georgie,Adoption,Labrador Retriever/Pointer,White/Brown,2014,Altered,Female
A717299,Isis,Return to Owner,Doberman Pinsch Mix,Red/Tan,2011,Altered,Female
A719326,*Ludo,Adoption,Rottweiler Mix,Black/Brown,2014,Altered,Male
A688904,*Flicker,Transfer,German Shepherd Mix,Tan/White,2013,Altered,Female
A686842,*Herman,Euthanasia,Staffordshire,Fawn/White,2012,Altered,Male
A722124,Lucy,Transfer,Mastiff Mix,Brown/Black,2013,Altered,Female
A694984,*Moose,Adoption,Dogue De Bordeaux Mix,Red/White,2012,Altered,Male
A775943,*Joyce,Transfer,Boxer Mix,Brown/White,2016,Intact,Female
A759451,Rudolph,Return to Owner,Pembroke Welsh Corgi Mix,Red/Tan,2017,Intact,Male
A696717,Roxie,Adoption,Pit Bull Mix,Blue/White,2014,Altered,Female
A715893,Pancho,Return to Owner,Labrador Retriever Mix,Black/White,2015,Altered,Male
A736806,*Vino,Adoption,Pit Bull Mix,Brown Brindle/White,2014,Altered,Male
A769185,Nala,Transfer,Boxer/Pit Bull,Red,2017,Intact,Female
A743954,Binky,Return to Owner,Boxer Mix,Brown Brindle/White,2006,Intact,Male
A784665,Lily,Return to Owner,Boston Terrier Mix,Tan/White,2015,Altered,Female
A685249,Booger,Euthanasia,Catahoula/Labrador Retriever,Red,2008,Altered,Male
A675362,,Transfer,Labrador Retriever Mix,Cream,2014,Intact,Male
A740335,Jade,Adoption,Labrador Retriever,Black/White,2011,Altered,Female
A676817,Flecha,Transfer,Pit Bull Mix,White/Brown,2012,Altered,Male
A767555,,Transfer,Labrador Retriever Mix,Brown Brindle/White,2018,Intact,Male
A670525,*George,Transfer,Dachshund Mix,Black/Brown,2009,Altered,Male
A745160,,Transfer,Chihuahua Shorthair Mix,Black,2016,Altered,Male
A721093,Sam,Return to Owner,German Shepherd,Black/Brown,2013,Intact,Male
A765250,Cowboy,Rto-Adopt,Pit Bull Mix,White/Brown,2017,Altered,Male
A735188,Tipsy,Return to Owner,Rat Terrier Mix,Tricolor,2005,Altered,Female
A460100,Rebel,Return to Owner,Australian Shepherd Mix,Chocolate/Tan,2005,Altered,Male
A688773,Chubs,Return to Owner,Shih Tzu Mix,White/Brown,2009,Altered,Male
A779002,Zeus,Return to Owner,Siberian Husky Mix,White/Black,2015,Altered,Male
A531069,Jrewpy,Return to Owner,Beagle/Basset Hound,Black Brindle/White,2007,Altered,Male
A729767,*Tippy,Adoption,Boxer/Great Pyrenees,White/Brown,2015,Altered,Female
A706443,Boomer,Adoption,Boxer,Tan/White,2014,Altered,Male
