Animal ID,Outcome Type,Breed,Color,Altered,Sex,HasName,AgeRange,MixedBreed,MixedColor,StrayHold
A706443,Adoption,Rare,Tan,Altered,Male,1,Adult,0,1,0
A694874,Adoption,Australian Cattle Dog,Rare,Altered,Female,1,Adult,1,0,1
A774323,Adoption,Rare,White,Intact,Female,1,Young,1,0,0
A763678,Adoption,Labrador Retriever,Brown,Altered,Female,1,Young,1,1,0
A749960,Return to Owner,Rare,Tan,Altered,Female,0,Senior,0,1,0
A646578,Adoption,Labrador Retriever,Red,Altered,Male,1,Adult,1,1,0
A717522,Adoption,Labrador Retriever,Black,Altered,Female,1,Adult,1,0,0
A675373,Return to Owner,Rare,White,Intact,Female,1,Adult,1,1,0
A732274,Adoption,German Shepherd,Brown,Altered,Male,1,Young,1,1,0
A786454,Return to Owner,Rare,White,Intact,Female,1,Young,1,1,0
A747814,Return to Owner,Rare,White,Altered,Male,1,Adult,1,0,0
A764716,Transfer,Rare,Tricolor,Intact,Male,1,Young,1,0,1
A718577,Return to Owner,Labrador Retriever,Black,Altered,Male,1,Adult,1,1,0
A533019,Transfer,Rare,Black,Intact,Male,1,Senior,0,0,0
A717424,Transfer,Rare,Rare,Altered,Female,1,Adult,1,0,0
A783469,Adoption,Rare,Black,Altered,Male,1,Young,1,1,0
A752852,Adoption,Rare,Tan,Altered,Male,1,Adult,1,1,0
A524092,Return to Owner,Pit Bull,Rare,Altered,Female,1,Senior,0,1,0
A734004,Adoption,Rare,Tan,Altered,Female,1,Young,1,0,0
A753601,Adoption,Rare,White,Altered,Male,1,Young,1,1,0
A726185,Return to Owner,Chihuahua Shorthair,Tan,Altered,Male,1,Senior,1,0,0
A697377,Adoption,Chihuahua Shorthair,Tricolor,Altered,Male,1,Young,1,0,1
A552202,Died,Pit Bull,White,Intact,Female,1,Senior,1,1,0
A721277,Adoption,Labrador Retriever,Black,Altered,Female,1,Young,1,1,0
A687494,Return to Owner,Chihuahua Shorthair,Brown,Altered,Male,1,Senior,1,0,0
A703213,Adoption,Rare,Rare,Altered,Male,1,Young,1,0,1
A731458,Adoption,Chihuahua Shorthair,Tan,Altered,Male,0,Young,1,0,0
A758319,Transfer,Rare,Brown,Intact,Female,1,Adult,1,0,0
A745058,Died,Pit Bull,Rare,Intact,Male,0,Young,1,1,0
A754062,Adoption,Labrador Retriever,Black,Altered,Female,1,Young,1,1,1
A732175,Adoption,Pit Bull,White,Altered,Female,0,Adult,1,1,0
A715054,Return to Owner,Australian Cattle Dog,White,Altered,Female,1,Adult,1,1,0
A684123,Adoption,Rare,Black,Altered,Female,1,Adult,1,1,0
A780794,Return to Owner,Rare,Rare,Altered,Male,1,Young,1,0,0
A696932,Adoption,Rare,White,Altered,Female,1,Adult,1,1,0
A745864,Return to Owner,Rare,Black,Altered,Male,1,Adult,1,1,0
A697762,Adoption,Rare,Tan,Altered,Female,1,Adult,1,0,0
A731830,Adoption,Rare,Brown,Altered,Male,1,Adult,1,0,0
A727120,Adoption,Rare,Black,Intact,Female,1,Young,0,1,1
A750286,Transfer,Rare,Black,Intact,Female,1,Young,1,1,0
A717526,Adoption,Rare,White,Altered,Male,1,Adult,1,0,1
A778761,Adoption,German Shepherd,Rare,Altered,Female,1,Young,1,1,1
A736422,Return to Owner,Pit Bull,Rare,Altered,Male,1,Young,1,1,0
A681482,Transfer,Chihuahua Shorthair,Tricolor,Intact,Male,1,Adult,1,0,0
A729285,Transfer,Chihuahua Shorthair,Red,Intact,Female,1,Adult,1,0,1
A760146,Transfer,Rare,White,Intact,Female,0,Young,1,1,0
A705094,Adoption,Rare,Blue,Altered,Female,1,Adult,1,1,0
A735044,Adoption,Pit Bull,Blue,Altered,Female,1,Adult,1,0,1
A783960,Adoption,Rare,White,Altered,Male,1,Young,1,1,0
A769267,Transfer,Rare,Black,Intact,Male,1,Young,1,1,0
A779239,Transfer,Chihuahua Shorthair,Brown,Altered,Male,1,Adult,1,0,0
A786962,Adoption,Rare,Brown,Altered,Female,1,Young,1,1,0
A774744,Adoption,Rare,Brown Brindle,Altered,Female,0,Young,1,1,0
A731098,Transfer,German Shepherd,Tan,Unknown,Unknown,0,Adult,1,0,0
A775176,Return to Owner,Rare,White,Altered,Female,1,Senior,1,0,0
A665719,Adoption,Rare,Tan,Altered,Female,0,Adult,1,0,0
A715376,Adoption,Rare,Black,Altered,Male,1,Adult,0,1,0
A733301,Adoption,Chihuahua Shorthair,Black,Altered,Female,0,Young,1,0,0
A681449,Return to Owner,Rare,White,Altered,Male,1,Adult,1,1,0
A698629,Return to Owner,Pit Bull,Blue,Intact,Male,1,Adult,1,1,0
A783118,Transfer,Rare,Black,Altered,Female,1,Young,1,1,0
A727159,Return to Owner,Chihuahua Shorthair,Brown,Intact,Male,1,Senior,1,1,0
A597754,Adoption,Rare,Red,Altered,Female,1,Adult,1,1,0
A742841,Adoption,Rare,Black,Intact,Male,1,Young,1,1,0
A773525,Adoption,Pit Bull,White,Altered,Male,0,Young,1,1,0
A702522,Died,Pit Bull,Rare,Intact,Male,1,Adult,1,1,0
A672839,Transfer,Rare,Brown,Altered,Male,0,Adult,1,1,0
A786491,Return to Owner,Pit Bull,Blue,Intact,Male,1,Adult,1,0,0
A667121,Return to Owner,Rare,Black,Altered,Female,1,Adult,1,1,0
A753603,Transfer,Rare,White,Altered,Female,1,Young,0,1,1
A650344,Adoption,Rare,Brown,Altered,Female,1,Adult,1,1,0
A674808,Return to Owner,Pit Bull,White,Intact,Male,1,Adult,1,1,0
A675177,Adoption,Labrador Retriever,Black,Altered,Male,1,Adult,1,0,1
A763246,Adoption,German Shepherd,Tan,Altered,Female,1,Young,1,1,1
A716893,Adoption,Labrador Retriever,White,Altered,Male,1,Adult,1,1,0
A737775,Transfer,Labrador Retriever,Black,Intact,Male,0,Young,1,1,0
A704565,Transfer,Pit Bull,Brown,Intact,Male,1,Young,1,0,1
A768543,Transfer,Rare,Tan,Altered,Female,1,Adult,1,0,0
A748370,Adoption,Rare,Tan,Altered,Male,1,Young,1,1,0
A696798,Transfer,Australian Cattle Dog,White,Altered,Male,1,Adult,0,1,1
A722984,Adoption,Rare,Rare,Altered,Male,1,Young,1,1,1
A696975,Adoption,Rare,Rare,Altered,Female,1,Senior,1,0,0
A665667,Transfer,Rare,Red,Altered,Male,0,Adult,1,1,0
A701338,Died,Chihuahua Shorthair,Black,Altered,Female,0,Senior,1,1,0
A738670,Return to Owner,Rare,Black,Intact,Male,1,Adult,1,1,0
A678589,Adoption,German Shepherd,Tricolor,Altered,Male,0,Adult,1,1,0
A764457,Transfer,German Shepherd,Tan,Altered,Male,1,Young,1,1,0
A664058,Return to Owner,Labrador Retriever,Black,Altered,Male,1,Adult,1,1,0
A724428,Adoption,Rare,Black,Altered,Male,1,Senior,1,0,0
A580635,Transfer,Rare,Black,Altered,Male,1,Adult,1,1,0
